scorer,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi
bodyparts,hip1,hip1,hip2,hip2,upperlimb,upperlimb,knee,knee,ankle,ankle,toe1,toe1,toe2,toe2
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\cam2\img007.png,290.1857178922711,303.2063274912464,290.1857178922711,303.2063274912464,274.06150206763675,339.9337079806912,300.03940534065873,439.3663722326029,357.36995049491406,528.9453490361268,369.0152174793722,543.2779853246907,345.724683510456,565.6727295255716
labeled-data\cam2\img027.png,296.2407754043139,330.3206804699847,296.2407754043139,330.3206804699847,265.4363033811319,365.9383512467889,220.1922350970834,457.3891275656104,317.41884992025155,498.7826368467612,333.7837256825669,502.63319584965893,323.1946884245982,537.2882268757387
labeled-data\cam2\img033.png,292.46676631659346,317.18100440583726,291.5486932209952,317.18100440583726,261.2522810662511,346.559343464983,214.4305531907375,443.8750915984034,278.69566988261886,526.5016702022508,289.71254702979854,541.1908397318238,263.0884272574477,561.3884478349864
labeled-data\cam2\img046.png,291.1678778379407,320.82593286198306,291.1678778379407,320.82593286198306,262.2173786680058,347.0623227347366,221.5057392102848,449.29377292856924,225.12455160652667,556.9534417167647,225.12455160652667,571.4286913017322,192.55524004034987,575.047503697974
labeled-data\cam2\img054.png,295.554774251954,335.26864878870845,295.554774251954,335.26864878870845,271.1679005669349,361.94179188169807,236.11176964471997,461.77555602974485,283.36133740944445,555.5126017565368,286.4096966200718,572.2785774149875,252.87774530317063,575.3269366256148
labeled-data\cam2\img056.png,297.624342756039,331.87293706802797,297.624342756039,330.97714729999274,272.54222925105233,358.7466301090852,249.25169528213615,464.4498227372434,300.31171206014477,553.1330097727321,302.99908136425046,569.2572255973664,269.85485994694665,573.7361744375426
labeled-data\cam2\img074.png,289.20643472418976,315.3365688167872,289.20643472418976,315.3365688167872,268.89740998321173,350.15203980132094,282.4367598105304,451.6971635062112,385.9160763478948,492.31521298816733,404.2909082563988,494.2494058206414,400.4225225914505,530.9990696376493
labeled-data\cam2\img088.png,295.23513997305656,324.28279003349655,295.23513997305656,324.28279003349655,261.92602193178607,355.7914152076714,214.21296095374984,447.6165514295524,302.43711144143947,509.7335553443543,317.7413008117529,519.6362661133807,300.63661857434374,549.3443984204598
labeled-data\cam2\img107.png,292.1711935747988,325.22278992341694,292.1711935747988,325.22278992341694,263.2206944048639,354.17328909335185,221.60435184808244,453.6906299900031,241.50782002741266,553.2079708866545,244.2219293245941,570.3973297688033,210.7479146593568,570.3973297688033
labeled-data\cam2\img119.png,295.96770882335767,319.46549114760273,295.96770882335767,319.46549114760273,278.764979944671,350.4304031292388,279.6251163886053,453.6467764013589,332.95357591253406,545.6813759023328,338.11439457614006,560.3036954492164,307.14948259450404,570.6253327764284
labeled-data\cam2\img124.png,291.73005945236383,304.7203458991915,291.73005945236383,304.7203458991915,276.16738348231877,340.1686633865163,302.96976987517417,441.32605719180924,361.7621013175666,528.6499612459509,375.59559106871774,540.7542647782082,353.11617022309713,565.8274649521696
labeled-data\cam2\img137.png,290.9465821119119,328.91032410186324,290.9465821119119,328.91032410186324,266.9741783195658,362.3264021154365,269.87992423378955,462.5746361561563,373.76034066728903,482.1884210771667,390.46837967407566,480.00911164149886,398.459180938191,513.4251896550721
labeled-data\cam2\img143.png,297.5944474437805,336.0307385913653,297.5944474437805,336.0307385913653,267.1108553375067,371.8489593162371,231.29263461263497,465.5860050430291,334.1747579713091,485.40033991210703,350.9407336297597,487.6866093200776,351.7028234324165,522.7427402422925
labeled-data\cam2\img148.png,295.3537429840109,323.8835619368766,295.3537429840109,323.8835619368766,262.9716113693639,352.41067788311324,214.39841394739335,446.473060192326,295.3537429840109,515.0923390900304,307.6897931229241,524.3443766942153,287.64371164719023,552.871492640452
labeled-data\cam2\img149.png,294.35828212011893,322.63346726058865,294.35828212011893,322.63346726058865,263.2329301800288,352.8942260912318,213.95112294155274,447.13487502094915,294.35828212011893,513.7085444483641,308.1917718712701,526.6774410900683,289.17072346343724,554.3444205923706
labeled-data\cam2\img150.png,294.76054520595295,321.69685443645784,294.76054520595295,321.69685443645784,264.59783301658723,352.69741974219477,213.4887929179398,445.6991156594056,293.0848389732104,513.5652180854784,309.00404818426455,523.6194554819336,288.89557339135405,553.7821676712992
labeled-data\cam2\img160.png,287.56269838150183,307.99786685047735,287.56269838150183,307.99786685047735,258.92416579744986,339.16332878018096,223.54715495832681,445.29436129755015,206.7009593206492,548.8984644692677,199.12017128369422,565.7446601069453,167.1123995721067,559.848491633758
labeled-data\cam2\img165.png,290.16509021594595,323.27112696213334,290.16509021594595,323.27112696213334,262.7655106444004,351.61551962235285,218.35929547672316,453.6553331991431,232.53149180683295,552.8607075099114,233.47630489550693,570.8121561947172,199.46303370324347,572.7017823720652
labeled-data\cam2\img166.png,292.36113220228077,328.7439122116223,292.36113220228077,328.7439122116223,262.0201533924106,357.44483811285085,217.73872485908652,452.5679068140655,248.0797036689567,553.4311606955259,248.0797036689567,570.651716236263,216.0986719504449,572.2917691449046
labeled-data\cam2\img169.png,292.153333487757,331.7304129049347,292.153333487757,331.7304129049347,262.2045412429968,357.18688631298096,218.77879248809435,455.26918091457077,252.47118376344966,552.6027557100416,251.7224639573307,572.0694706691357,218.77879248809435,573.5669102813738
labeled-data\cam2\img201.png,287.42527710042043,335.7841958552075,287.42527710042043,335.7841958552075,260.5604973903885,370.5862968432034,237.35909673172458,468.27640487968324,341.7653996957124,478.04541568333127,360.69285812778037,479.26654203378723,361.30342130300835,514.0686430217831
labeled-data\cam2\img216.png,279.18967119969733,302.06533198670724,279.18967119969733,302.06533198670724,250.0965587333588,334.58116356673264,217.58072715333338,438.97409653418265,216.72504737491164,548.5011081721631,214.15800803964652,565.6147037405975,178.2194573459342,564.7590239621758
labeled-data\cam2\img220.png,279.0454891570333,307.8671974176475,279.0454891570333,307.8671974176475,252.03809615059765,341.17631545891805,217.8287316757793,442.00391601627757,196.2228172706308,546.4325023078285,195.32257083708294,566.2379238458813,162.01345279581238,560.8364452445942
labeled-data\cam2\img224.png,281.85714817728746,323.92099792718255,281.85714817728746,323.92099792718255,254.45756860574193,351.3205774987281,213.8306057927606,449.5811387208224,226.11317594552236,553.5105784749607,228.00280212287038,571.4620271597664,193.98953093060692,571.4620271597664
labeled-data\cam2\img228.png,285.10184355874026,331.50142943089656,285.10184355874026,331.50142943089656,257.96075058692634,359.547225501771,219.05851732732626,457.25516020030136,255.24664128974493,553.1536887007107,255.24664128974493,567.6289382856781,222.67732972356814,572.1524537809805
labeled-data\cam2\img231.png,288.260476272479,332.55578735787066,288.260476272479,332.55578735787066,260.6648034183785,358.61836727563224,230.00294469160013,461.3355940103397,274.4626398454288,550.254984317997,279.06191865444555,568.652099554064,245.33387405498934,571.7182854267419
labeled-data\cam2\img244.png,281.29582001431004,303.0236933385397,281.29582001431004,303.0236933385397,265.4612874479956,335.52615492202733,288.7963880720379,438.033918377642,361.30187929674105,513.8729954057796,374.6362225104795,523.040356365225,360.46848284588236,553.0426285961365
labeled-data\cam2\img245.png,280.1171523161927,301.3892558284439,280.1171523161927,301.3892558284439,265.21406284201436,336.6860466883399,287.9608836183918,437.8701804867085,360.9075847288436,514.7387472482598,375.026301072802,524.1512248108987,362.47633098928344,553.1730306290355
labeled-data\cam2\img258.png,283.4371831714708,334.4629727973382,283.4371831714708,334.4629727973382,254.30841738103138,369.0110438511152,236.6956752751843,465.88112543327424,343.0495410681841,470.6230175386946,359.984870016114,465.88112543327424,367.43641475320317,501.10660964496844
labeled-data\cam2\img261.png,285.9145855932807,334.969963066053,285.9145855932807,334.969963066053,256.5941831857989,370.61437383593284,216.92540345802942,463.174859867395,322.70881606541474,479.84724555008074,339.95611159922754,479.2723356989536,342.25575100373595,511.4672873620709
labeled-data\cam2\img263.png,287.6876209441531,332.51148810267523,287.6876209441531,332.51148810267523,255.09156938490068,366.3375793434089,209.58010117009536,457.9755356137601,311.67339473303696,487.4964879693095,330.1239899552553,489.3415474915313,325.8188510700711,523.7826585730056
labeled-data\cam2\img270.png,283.40077221423263,312.5059622831061,283.40077221423263,312.5059622831061,249.1468410842881,340.235335102585,204.2905026998369,438.10370975956937,264.642667071644,527.0008167396636,273.6139347485342,540.865503149403,246.70013171786348,560.4391780807999
labeled-data\cam2\img278.png,279.6581982167055,307.628498412792,279.6581982167055,307.628498412792,249.64701265476867,339.26191022132,220.44694021612742,443.89550312645116,201.79133838032885,549.3402091548779,198.54688588714646,567.1846978673809,164.48013470873173,560.6957928810161
labeled-data\cam2\img296.png,286.9008768678806,317.84834549969594,286.9008768678806,317.84834549969594,267.04643200918906,350.2037371212673,275.13527991458193,452.4173606530495,328.0804662044259,542.8653872315331,335.43396430023756,559.0430830423187,306.0199719169909,570.0733301860362
labeled-data\cam2\img303.png,279.8375856885865,304.9684039016234,279.8375856885865,304.9684039016234,264.75622959390364,336.80682232373164,293.24323555052683,439.8627556373977,364.46075044208465,517.7830954599257,380.3799596531387,526.1616266236383,363.6228973257133,555.4864856966328
labeled-data\cam2\img304.png,276.8062932785397,303.53861647186676,276.8062932785397,303.53861647186676,265.45070955240146,336.794254526986,289.7841032512692,438.99450806223035,367.6509630876459,514.4280285287202,381.4398861836709,521.7280466383805,367.6509630876459,553.3614584469085
labeled-data\cam2\img327.png,278.312608340146,316.17825466549925,278.312608340146,316.17825466549925,246.679196531618,347.0005533507317,201.25686162706495,441.9007887763157,275.87926897025926,514.0898567496233,288.8570789429887,527.0676667223527,266.95702461400776,551.4010604212204
labeled-data\cam2\img329.png,278.33363488803457,310.3458165091425,278.33363488803457,310.3458165091425,246.17433654901822,340.15199545749914,201.4650681264833,435.8455173443283,259.50867976275674,525.2640541893982,271.2742767160554,540.1671436635766,240.68372463747886,559.7764719190743
labeled-data\cam2\img338.png,275.1755102341643,308.6251870880328,275.1755102341643,308.6251870880328,245.49411792016082,339.10877919430663,210.1973270602648,443.394752189454,194.9555310071279,548.4829249768717,190.94453204577604,567.7357199913604,157.2521407704208,558.109322484116
labeled-data\cam2\img342.png,277.4936091472258,321.1260447176024,277.4936091472258,321.1260447176024,245.76215069742034,350.4776437836725,207.6844005576537,451.2250243618049,217.99712455384054,555.145550784918,217.99712455384054,571.8045664710659,185.47237964278986,571.8045664710659
labeled-data\cam2\img344.png,280.15744948575775,325.57736223160043,280.15744948575775,325.57736223160043,247.2137780165215,357.73666057061683,207.99512150552593,452.64580932722606,233.0950616725631,553.8299431255946,233.87943480278298,571.0861519904327,200.15139020332683,571.0861519904327
