,hip1_hip2,hip1_hip2,hip1_hip2,hip2_upperlimb,hip2_upperlimb,hip2_upperlimb,upperlimb_knee,upperlimb_knee,upperlimb_knee,knee_ankle,knee_ankle,knee_ankle,ankle_toe1,ankle_toe1,ankle_toe1,toe1_toe2,toe1_toe2,toe1_toe2,,24.67001909
,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,,
0,3.057262495,136.8048298,0.977721632,37.39526131,123.4000447,0.993922889,104.1428993,95.05023581,0.989986658,107.2946422,60.2797451,0.972064793,13.90084781,68.99938808,0.979284644,34.7872143,164.6566181,0.974774122,,24.67001909
1,3.090543999,137.3054458,0.977981567,37.40930617,123.4729991,0.993944764,104.1620296,95.02593385,0.990068793,107.2712194,60.28440028,0.972083926,13.89606843,69.00805744,0.97928375,34.78436328,164.6569804,0.974698663,,24.68966587
2,1.900103366,169.5837574,0.988672674,38.71926521,115.7082244,0.985720158,103.5644631,85.24021121,0.992221475,105.8844214,62.27480165,0.959093094,13.05547577,57.07468114,0.919002116,35.54685606,149.8860544,0.971648812,,32.48498715
3,1.835142978,172.6507299,0.988674283,38.78746009,115.6078124,0.985408187,103.4954461,85.27034421,0.992280364,105.8644544,62.26305676,0.95908314,13.151504,56.96935647,0.919468999,35.55369906,150.0685768,0.971474826,,32.46659903
4,2.19372253,169.3075119,0.992239475,37.69921558,113.2689441,0.993531108,102.8239832,79.48245498,0.99067378,108.2147304,59.69357269,0.970699906,14.7617113,42.44314568,0.955556095,36.33050987,141.0385959,0.976057947,,40.82397233
5,10.72065155,5.627010529,0.063443571,53.74053584,128.975093,0.140174985,105.664413,73.30943168,0.390837073,112.0714825,56.49402607,0.510544062,14.98002139,67.23840493,0.463783741,38.50440202,148.338537,0.232267618,,50.19654225
6,1.779597886,25.16050769,0.089233518,210.1756786,240.2702116,0.431664616,99.24035122,78.91939293,0.811541736,107.3525057,56.52111383,0.685526967,14.65052385,44.95502531,0.452118188,32.67106331,135.2636086,0.454732895,,44.55949324
7,10.51126547,145.8049632,0.017702609,55.06073384,108.343527,0.11437282,144.6245789,250.1876759,0.576765716,108.7202813,54.64529173,0.55797863,17.97760707,48.18395484,0.571487129,38.3874973,135.2794832,0.276728898,,-124.8329676
8,2.567789136,185.1452326,0.981298447,35.1023857,111.4450795,0.992431164,102.4018942,75.51731984,0.995870888,112.3161792,52.23996873,0.966500998,14.25455828,38.24839948,0.948859096,33.49093322,124.3232581,0.95504564,,52.24271143
